path;author;sex;birthday;header;created;sphere;genre_fi;type;topic;chronotop;style;audience_age;audience_level;audience_size;source;publication;publisher;publ_year;medium;subcorpus;tagging;comments;editor_id
444441;;;;Омский мусорный абзац;2003;публицистика|нехудожественная;;статья;политика и общественная жизнь;;нейтральный;н-возраст;н-уровень;большая;Криминальная хроника, 10.06.2003;«Криминальная хроника»;;2003.06.10;газета;ПК письменных текстов;manual;;1
spring-1;Олег Тихомиров;муж;1934;Весенние страницы;2000;публицистика|нехудожественная;детская;заметка;природа;;нейтральный;детский;н-уровень;большая;http://murzilka.km.ru/ «Мурзилка», 2000, № 3;«Мурзилка»;;2000;журнал;ПК письменных текстов;manual;;1
10;Д. В. Семенов;муж;;Сенсационный кактус;2004;учебно-научная|нехудожественная;;статья;наука и технологии|биология;;нейтральный;н-возраст;н-уровень;большая;Первое сентября, 2004, № 14;«Первое сентября»;;2004;газета;ПК письменных текстов;manual;;2
dash10_33;;;;Я желанна. Разве это стыдно?;2004;публицистика|нехудожественная;;статья;частная жизнь;;нейтральный;н-возраст;н-уровень;большая;«Даша», №10. -- ИД «Бурда»;«Даша»;ИД «Бурда»;2004;журнал;ПК письменных текстов;manual;;1
443941;Екатерина Баранова;жен;;Делай как я!;2003;публицистика|нехудожественная;;заметка;дом и домашнее хозяйство;;нейтральный;н-возраст;н-уровень;большая;«Сад своими руками», 15.07.2003;«Сад своими руками»;;2003.07.15;газета;ПК письменных текстов;manual;;1
30151;Леонид Семеняка;муж;;Как слеза. Российское правительство хочет быть прозрачным;2003;публицистика|нехудожественная;;статья;политика и общественная жизнь;;нейтральный;н-возраст;н-уровень;большая;«Известия», 17.02.2003;«Известия»;;2003.02.17;газета;ПК письменных текстов;manual;;1
zhanna;Андрей Геласимов;муж;1966;Жанна;2001;художественная;нежанровая проза;рассказ;;Россия: постсоветский период;нейтральный;н-возраст;н-уровень;большая;Геласимов А. Фокс Малдер похож на свинью: Повесть, рассказы. — М.: ОГИ, 2001;Геласимов А. Фокс Малдер похож на свинью: Повесть, рассказы;Издательство О. Г. И.;2001;книга;ПК письменных текстов;manual;;3
10977330;Сергей Мазур;муж;;Кто в доме хозяин;2002;публицистика|нехудожественная;;интервью;право;;нейтральный;н-возраст;н-уровень;большая;«Домовой», 04.08.2002;«Домовой»;;2002.08.04;журнал;ПК письменных текстов;manual;;1
22592319;Павел Черников;муж;;Россия в цифрах;2002;публицистика|нехудожественная;;статья;наука и технологии|статистика;;нейтральный;н-возраст;н-уровень;большая;«Коммерсантъ-Власть», 2002, № 4;«Коммерсантъ-Власть»;;2002;журнал;ПК письменных текстов;manual;;1
tram907_08;;;;Звуковые стихи;1990;публицистика|нехудожественная;;заметка;искусство и культура;;нейтральный;н-возраст;н-уровень;большая;«Трамвай», 1990, №7;«Трамвай»;;1990;журнал;ПК письменных текстов;manual;;1
